x	y	RR	N_pairs	N_x	N_y	N_total
00y	00y	17.974402666890647	244	16895	16895	21027180
00y	01y	1.7355773227752413	142	16895	101828	21027180
00y	02y	1.3655725705035833	98	16895	89317	21027180
00y	03y	1.0563735875765004	86	16895	101322	21027180
00y	04y	0.9522765114578241	84	16895	109784	21027180
00y	05y	0.9648146091902962	94	16895	121257	21027180
00y	06y	0.9925261335262342	104	16895	130411	21027180
00y	07y	0.9729193506787293	108	16895	138156	21027180
00y	08y	1.1082166353688525	126	16895	141504	21027180
00y	09y	0.9211087628434128	125	16895	168897	21027180
00y	10y	0.902628535097466	131	16895	180628	21027180
00y	11y	0.8532193912625863	131	16895	191088	21027180
00y	12y	0.8914744522005653	120	16895	167531	21027180
00y	13y	0.8599297415600932	115	16895	166440	21027180
00y	14y	0.9036542243743118	142	16895	195573	21027180
00y	15y	0.8128886908879706	137	16895	209755	21027180
00y	16y	0.7545969502067954	136	16895	224309	21027180
00y	17y	0.8754905369131953	162	16895	230296	21027180
00y	18y	0.7973312683931961	177	16895	276285	21027180
00y	19y	0.8886157331618587	223	16895	312330	21027180
00y	20y	0.9791267341503471	276	16895	350827	21027180
00y	21y	0.7664238169879186	241	16895	391355	21027180
00y	22y	0.8917347090969563	304	16895	424288	21027180
00y	23y	0.8698045202160932	292	16895	417815	21027180
00y	24y	0.8356914483118014	291	16895	433381	21027180
00y	25y	0.9563525296979458	335	16895	435963	21027180
00y	26y	0.8994270507236827	317	16895	438648	21027180
00y	27y	0.9049218493813515	333	16895	457990	21027180
00y	28y	0.9638459198868454	344	16895	444195	21027180
00y	29y	0.929774054739674	348	16895	465827	21027180
00y	30y	1.000807064138658	373	16895	463854	21027180
00y	31y	0.9517180446239087	342	16895	447240	21027180
00y	32y	1.0147747817192572	357	16895	437846	21027180
00y	33y	0.9146662693736428	303	16895	412290	21027180
00y	34y	1.0216457116856672	327	16895	398355	21027180
00y	35y	0.958440056579767	294	16895	381773	21027180
00y	36y	0.957482981086001	285	16895	370456	21027180
00y	37y	0.9441552780081325	278	16895	366458	21027180
00y	38y	0.8859797497866357	244	16895	342759	21027180
00y	39y	0.9274096053671577	255	16895	342209	21027180
00y	40y	0.8052397749032517	221	16895	341578	21027180
00y	41y	1.0004072866135048	259	16895	322215	21027180
00y	42y	1.001036656392503	261	16895	324499	21027180
00y	43y	1.0032779387511488	255	16895	316331	21027180
00y	44y	1.0836069564554922	264	16895	303218	21027180
00y	45y	0.9724380833527916	235	16895	300766	21027180
00y	46y	0.9703903923599329	232	16895	297553	21027180
00y	47y	0.9419684176837191	220	16895	290676	21027180
00y	48y	0.9938042092359781	224	16895	280524	21027180
00y	49y	1.037615082170918	238	16895	285472	21027180
00y	50y	0.9783579772730674	225	16895	286225	21027180
00y	51y	1.0567331550400918	252	16895	296796	21027180
00y	52y	1.04251593544327	238	16895	284130	21027180
00y	53y	1.0343543891261961	226	16895	271933	21027180
00y	54y	0.9495612089789881	203	16895	266070	21027180
00y	55y	1.0384349767735868	231	16895	276857	21027180
00y	56y	1.1218165567895484	238	16895	264045	21027180
00y	57y	0.9431421493792953	195	16895	257324	21027180
00y	58y	0.9717827184106689	206	16895	263828	21027180
00y	59y	1.1652968831935315	244	16895	260601	21027180
00y	60y	0.9697666552354544	189	16895	242559	21027180
00y	61y	0.8967586202286447	178	16895	247040	21027180
00y	62y	1.0235358863963897	181	16895	220089	21027180
00y	63y	0.980930352909215	169	16895	214423	21027180
00y	64y	1.228537842024769	207	16895	209703	21027180
00y	65y	1.0691377832148308	165	16895	192076	21027180
00y	66y	1.0818500131212827	153	16895	176014	21027180
00y	67y	1.093745889048816	149	16895	169548	21027180
00y	68y	0.9396514950450071	121	16895	160266	21027180
00y	69y	1.0023069185327038	116	16895	144039	21027180
00y	70y	1.307123667507119	145	16895	138062	21027180
00y	71y	1.2136779460229157	130	16895	133310	21027180
00y	72y	1.2587698226694566	121	16895	119636	21027180
00y	73y	1.3111442236921123	125	16895	118654	21027180
00y	74y	1.206344188000016	115	16895	118645	21027180
00y	75y	1.1999769120415065	100	16895	103717	21027180
00y	76y	1.3065057605877408	98	16895	93355	21027180
00y	77y	1.4414169129659495	95	16895	82027	21027180
00y	78y	0.9528752580348822	61	16895	79674	21027180
00y	79y	1.3053706704310188	79	16895	75321	21027180
00y	80y	1.3368206810408187	76	16895	70756	21027180
00y	81y	1.0025838378766265	51	16895	63310	21027180
00y	82y	1.3335693485137017	63	16895	58796	21027180
00y	83y	1.2611892757523797	59	16895	58223	21027180
00y	84y	1.3074591548310375	54	16895	51403	21027180
00y	85y	1.241270001094517	51	16895	51136	21027180
00y	86y	1.1167160653457213	38	16895	42351	21027180
00y	87y	1.4909295364904744	56	16895	46747	21027180
00y	88y	1.149314641312237	36	16895	38984	21027180
00y	89y	1.2490906600757248	36	16895	35870	21027180
00y	90y	1.593104952562965	48	16895	37499	21027180
00y	91y	1.0688962654486265	25	16895	29109	21027180
00y	92y	1.6089164001259242	29	16895	22433	21027180
00y	93y	1.0261404159286964	16	16895	19406	21027180
00y	94y	1.1949163463253694	16	16895	16665	21027180
00y	95y	1.0709135736721274	12	16895	13946	21027180
00y	96y	1.4889696010721074	15	16895	12538	21027180
00y	97y	1.3865642370645157	10	16895	8976	21027180
00y	98y	0.8178610600081981	4	16895	6087	21027180
00y	99y+	0.8779590087844036	12	16895	17011	21027180
01y	00y	1.7355773227752413	142	101828	16895	21027180
01y	01y	2.697107431307523	1330	101828	101828	21027180
01y	02y	1.611433801598434	697	101828	89317	21027180
01y	03y	1.70379108794922	836	101828	101322	21027180
01y	04y	1.5574176960164907	828	101828	109784	21027180
01y	05y	1.3521581861350638	794	101828	121257	21027180
01y	06y	1.1780738853735617	744	101828	130411	21027180
01y	07y	1.2301098697733115	823	101828	138156	21027180
01y	08y	1.114906533735744	764	101828	141504	21027180
01y	09y	1.2507413749877925	1023	101828	168897	21027180
01y	10y	1.2186695223472506	1066	101828	180628	21027180
01y	11y	1.1195414021607974	1036	101828	191088	21027180
01y	12y	1.1364479741399671	922	101828	167531	21027180
01y	13y	1.0855858264092684	875	101828	166440	21027180
01y	14y	1.002007871635839	949	101828	195573	21027180
01y	15y	1.058302838027557	1075	101828	209755	21027180
01y	16y	1.0503952852923022	1141	101828	224309	21027180
01y	17y	1.0203982046843512	1138	101828	230296	21027180
01y	18y	0.8834337530138368	1182	101828	276285	21027180
01y	19y	0.8852800845999855	1339	101828	312330	21027180
01y	20y	0.9664824263529447	1642	101828	350827	21027180
01y	21y	0.9170493426038305	1738	101828	391355	21027180
01y	22y	0.9724080680351722	1998	101828	424288	21027180
01y	23y	0.9410154091029251	1904	101828	417815	21027180
01y	24y	0.9534348886387516	2001	101828	433381	21027180
01y	25y	0.9861543875157525	2082	101828	435963	21027180
01y	26y	0.9711736554012634	2063	101828	438648	21027180
01y	27y	0.9847147814022466	2184	101828	457990	21027180
01y	28y	1.022269449785867	2199	101828	444195	21027180
01y	29y	0.9690346776868752	2186	101828	465827	21027180
01y	30y	0.986066587320722	2215	101828	463854	21027180
01y	31y	0.9682145621092665	2097	101828	447240	21027180
01y	32y	1.0078524461256484	2137	101828	437846	21027180
01y	33y	0.9871829402767811	1971	101828	412290	21027180
01y	34y	1.0403774213413617	2007	101828	398355	21027180
01y	35y	1.011463497919035	1870	101828	381773	21027180
01y	36y	0.9955398296073511	1786	101828	370456	21027180
01y	37y	1.0283772968563618	1825	101828	366458	21027180
01y	38y	0.9585066517441762	1591	101828	342759	21027180
01y	39y	0.9992697114018869	1656	101828	342209	21027180
01y	40y	1.009579209282015	1670	101828	341578	21027180
01y	41y	0.9850129311099606	1537	101828	322215	21027180
01y	42y	0.9577164690884412	1505	101828	324499	21027180
01y	43y	0.9798345668488763	1501	101828	316331	21027180
01y	44y	0.9786234266308074	1437	101828	303218	21027180
01y	45y	0.9151983489417891	1333	101828	300766	21027180
01y	46y	0.9354904912101188	1348	101828	297553	21027180
01y	47y	0.9107363451846169	1282	101828	290676	21027180
01y	48y	0.9613620463633524	1306	101828	280524	21027180
01y	49y	1.0003972310018288	1383	101828	285472	21027180
01y	50y	0.9328348860136041	1293	101828	286225	21027180
01y	51y	0.9483128399448203	1363	101828	296796	21027180
01y	52y	0.9745979758967466	1341	101828	284130	21027180
01y	53y	0.9309843378952479	1226	101828	271933	21027180
01y	54y	0.998065118238591	1286	101828	266070	21027180
01y	55y	0.9606698767889958	1288	101828	276857	21027180
01y	56y	0.9846040110055061	1259	101828	264045	21027180
01y	57y	0.9669868579625792	1205	101828	257324	21027180
01y	58y	0.9807176792480764	1253	101828	263828	21027180
01y	59y	0.957204375044633	1208	101828	260601	21027180
01y	60y	0.9245411597460014	1086	101828	242559	21027180
01y	61y	1.0147644087851917	1214	101828	247040	21027180
01y	62y	0.9326138608430726	994	101828	220089	21027180
01y	63y	0.9957790600246864	1034	101828	214423	21027180
01y	64y	0.9906201457760057	1006	101828	209703	21027180
01y	65y	1.0062747247685637	936	101828	192076	21027180
01y	66y	0.9010062965820954	768	101828	176014	21027180
01y	67y	1.0474169523340897	860	101828	169548	21027180
01y	68y	0.9380020772841315	728	101828	160266	21027180
01y	69y	0.9547901942995719	666	101828	144039	21027180
01y	70y	0.9288193583829072	621	101828	138062	21027180
01y	71y	0.9402422907363073	607	101828	133310	21027180
01y	72y	0.9078992945825498	526	101828	119636	21027180
01y	73y	0.9206342062578725	529	101828	118654	21027180
01y	74y	0.9920629568217664	570	101828	118645	21027180
01y	75y	1.003446930146048	504	101828	103717	21027180
01y	76y	0.9046894864075267	409	101828	93355	21027180
01y	77y	0.9012390829681959	358	101828	82027	21027180
01y	78y	0.8889786222031508	343	101828	79674	21027180
01y	79y	0.8882654119745786	324	101828	75321	21027180
01y	80y	0.8842868643907446	303	101828	70756	21027180
01y	81y	0.9034856813655507	277	101828	63310	21027180
01y	82y	0.9271926158661093	264	101828	58796	21027180
01y	83y	0.7802646297343526	220	101828	58223	21027180
01y	84y	0.9279772564516342	231	101828	51403	21027180
01y	85y	0.8641732894973378	214	101828	51136	21027180
01y	86y	0.9264111003420575	190	101828	42351	21027180
01y	87y	0.8834664652861587	200	101828	46747	21027180
01y	88y	0.8792968317626998	166	101828	38984	21027180
01y	89y	0.7368726063363226	128	101828	35870	21027180
01y	90y	0.743409147678226	135	101828	37499	21027180
01y	91y	0.8299891103412605	117	101828	29109	21027180
01y	92y	0.865275318770959	94	101828	22433	21027180
01y	93y	0.6703758201245815	63	101828	19406	21027180
01y	94y	0.805418975923597	65	101828	16665	21027180
01y	95y	0.5478553187838178	37	101828	13946	21027180
01y	96y	0.6752574902390617	41	101828	12538	21027180
01y	97y	0.8972130508231104	39	101828	8976	21027180
01y	98y	0.8141824923558191	24	101828	6087	21027180
01y	99y+	0.6919246934366163	57	101828	17011	21027180
02y	00y	1.3655725705035833	98	89317	16895	21027180
02y	01y	1.611433801598434	697	89317	101828	21027180
02y	02y	2.9204685779640034	1108	89317	89317	21027180
02y	03y	1.5730112183534655	677	89317	101322	21027180
02y	04y	1.7005172508590665	793	89317	109784	21027180
02y	05y	1.599805912377865	824	89317	121257	21027180
02y	06y	1.3665595432795687	757	89317	130411	21027180
02y	07y	1.4262728403489813	837	89317	138156	21027180
02y	08y	1.332633432705605	801	89317	141504	21027180
02y	09y	1.2781867319364812	917	89317	168897	21027180
02y	10y	1.2811953377011815	983	89317	180628	21027180
02y	11y	1.1137351348584148	904	89317	191088	21027180
02y	12y	1.2281832122120175	874	89317	167531	21027180
02y	13y	1.1541954465509527	816	89317	166440	21027180
02y	14y	1.1399557310498336	947	89317	195573	21027180
02y	15y	1.1268556738366298	1004	89317	209755	21027180
02y	16y	1.0275025244714118	979	89317	224309	21027180
02y	17y	1.122439263975202	1098	89317	230296	21027180
02y	18y	0.9390121086308133	1102	89317	276285	21027180
02y	19y	0.8818994373764703	1170	89317	312330	21027180
02y	20y	0.926046898753305	1380	89317	350827	21027180
02y	21y	0.9474506025467718	1575	89317	391355	21027180
02y	22y	0.965462487851942	1740	89317	424288	21027180
02y	23y	0.9387238985150113	1666	89317	417815	21027180
02y	24y	0.985947220477035	1815	89317	433381	21027180
02y	25y	0.9741678793655021	1804	89317	435963	21027180
02y	26y	0.9633746281173114	1795	89317	438648	21027180
02y	27y	0.9792326590793634	1905	89317	457990	21027180
02y	28y	0.9921539910051916	1872	89317	444195	21027180
02y	29y	0.9228327974189848	1826	89317	465827	21027180
02y	30y	1.0196368806653953	2009	89317	463854	21027180
02y	31y	0.9943475868554541	1889	89317	447240	21027180
02y	32y	0.9952494293135893	1851	89317	437846	21027180
02y	33y	1.042665195671235	1826	89317	412290	21027180
02y	34y	0.9922642132572718	1679	89317	398355	21027180
02y	35y	1.0772948886244684	1747	89317	381773	21027180
02y	36y	1.0294974764797757	1620	89317	370456	21027180
02y	37y	1.0722079786238061	1669	89317	366458	21027180
02y	38y	1.0240842368265715	1491	89317	342759	21027180
02y	39y	1.0264180978717583	1492	89317	342209	21027180
02y	40y	1.0214220225337076	1482	89317	341578	21027180
02y	41y	0.9922038794514677	1358	89317	322215	21027180
02y	42y	0.9917496520324397	1367	89317	324499	21027180
02y	43y	0.993542424744416	1335	89317	316331	21027180
02y	44y	0.9883717637608711	1273	89317	303218	21027180
02y	45y	0.9659025768268041	1234	89317	300766	21027180
02y	46y	0.9692117273375519	1225	89317	297553	21027180
02y	47y	1.0026708160237572	1238	89317	290676	21027180
02y	48y	0.9567131281140284	1140	89317	280524	21027180
02y	49y	0.9467281167481291	1148	89317	285472	21027180
02y	50y	0.9310773627663465	1132	89317	286225	21027180
02y	51y	0.8931558599605481	1126	89317	296796	21027180
02y	52y	0.8691711486034638	1049	89317	284130	21027180
02y	53y	0.9843407301746621	1137	89317	271933	21027180
02y	54y	0.9263981456172685	1047	89317	266070	21027180
02y	55y	0.9107115976268371	1071	89317	276857	21027180
02y	56y	0.9210204611569156	1033	89317	264045	21027180
02y	57y	0.9020768262220482	986	89317	257324	21027180
02y	58y	0.9271319920975954	1039	89317	263828	21027180
02y	59y	0.8672455101962778	960	89317	260601	21027180
02y	60y	0.9006944521935338	928	89317	242559	21027180
