x	y	RR	N_pairs	N_x	N_y	N_total	date	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
0-4	0-4	3.19348121805206	28	2107	2107	506332	2020-11-08	3.19348121805206	28	3.19348121805206	28	1	3.12559193858289	1.1572092041889708	18.244792627496533	1.1318602046093715	17.883025453923363
0-4	12-17	1.2593757164599455	147	2107	28050	506332	2020-11-08	3.19348121805206	28	1.3578509486179822	2110	0.5534097140536156	1.2326030179113732	0.9724026441552885	1.6906013278910024	0.9482848312281358	1.658469295767226
0-4	18-24	1.0361449698340806	408	2107	94626	506332	2020-11-08	3.19348121805206	28	1.3193693141675968	23332	0.45919755703694887	1.014117868177742	0.6334685769332671	1.249436575373688	0.6202697835737289	1.2232604868112984
0-4	25-64	0.971902569454772	1227	2107	303384	506332	2020-11-08	3.19348121805206	28	1.0217204551339962	185730	0.4611416699880745	0.951241178123726	0.9126422805869098	1.0208309169527774	0.8954139041817166	0.999602243820044
0-4	5-11	1.8663164424077872	88	2107	11331	506332	2020-11-08	3.19348121805206	28	1.6799969664672898	426	0.7659073752853391	1.8266409691905643	1.322836199111116	3.0551213087766325	1.290585514803737	2.988688415000113
0-4	65-80	0.7904331737869218	178	2107	54116	506332	2020-11-08	3.19348121805206	28	1.2977545478188377	7506	0.3519891695704149	0.7736295870510475	0.5649458180456278	1.0364098270002298	0.5533414672049419	1.0102036573577498
0-4	80+	0.5857519468910236	31	2107	12718	506332	2020-11-08	3.19348121805206	28	6.529982820633471	2086	0.12048215421182525	0.5732996182543919	0.23103399604950386	1.135681511873739	0.2271647010322096	1.1146265880589894
12-17	0-4	1.2593757164599455	147	28050	2107	506332	2020-11-08	1.3578509486179822	2110	3.19348121805206	28	0.5534097140536156	1.2326030179113732	0.9724026441552885	1.6906013278910024	0.9482848312281358	1.658469295767226
12-17	12-17	1.3578509486179822	2110	28050	28050	506332	2020-11-08	1.3578509486179822	2110	1.3578509486179822	2110	1	1.328984794025586	1.2061429645741963	1.568195098952405	1.181538057053261	1.533294001877458
12-17	18-24	0.9446537740302916	4952	28050	94626	506332	2020-11-08	1.3578509486179822	2110	1.3193693141675968	23332	0.7056974632691623	0.9245716568397396	0.8689126287528409	1.0253623057961603	0.8513524963252767	1.0035451136209574
12-17	25-64	0.9920272160686988	16673	28050	303384	506332	2020-11-08	1.3578509486179822	2110	1.0217204551339962	185730	0.8337864663397151	0.9709380007847612	0.9771815188542176	1.0062340267223226	0.9522449345447281	0.987241417343212
12-17	5-11	1.2282553076750151	771	28050	11331	506332	2020-11-08	1.3578509486179822	2110	1.6799969664672898	426	0.8086351535741961	1.202144188758492	1.091223513835798	1.4008259413021587	1.070922521721259	1.3754584163608443
12-17	65-80	0.9733344829071872	2918	28050	54116	506332	2020-11-08	1.3578509486179822	2110	1.2977545478188377	7506	0.7330414733763481	0.9526426509485284	0.8859510246754996	1.0589777237953406	0.8683231135259211	1.0357124159337814
12-17	80+	0.679859553136613	479	28050	12718	506332	2020-11-08	1.3578509486179822	2110	6.529982820633471	2086	0.1723818155972957	0.6654066185329048	0.5064110378539336	0.8105142555817765	0.49737628555533314	0.7932577227085569
18-24	0-4	1.0361449698340806	408	94626	2107	506332	2020-11-08	1.3193693141675968	23332	3.19348121805206	28	0.45919755703694887	1.014117868177742	0.6334685769332671	1.249436575373688	0.6202697835737289	1.2232604868112984
18-24	12-17	0.9446537740302916	4952	94626	28050	506332	2020-11-08	1.3193693141675968	23332	1.3578509486179822	2110	0.7056974632691623	0.9245716568397396	0.8689126287528409	1.0253623057961603	0.8513524963252767	1.0035451136209574
18-24	18-24	1.3193693141675968	23332	94626	94626	506332	2020-11-08	1.3193693141675968	23332	1.3193693141675968	23332	1	1.291321229342095	1.250983617893633	1.402899929312605	1.2266595907411866	1.373259545505081
18-24	25-64	0.9602101481586048	54442	94626	303384	506332	2020-11-08	1.3193693141675968	23332	1.0217204551339962	185730	0.8203104047949943	0.939797322578489	0.9417034556754589	0.9762589966251628	0.9188957556197898	0.958184814513263
18-24	5-11	0.8887431642573759	1882	94626	11331	506332	2020-11-08	1.3193693141675968	23332	1.6799969664672898	426	0.5926206278942713	0.8698496343021921	0.7713297535512318	0.9874103719495821	0.7542105306821627	0.9702793311510216
18-24	65-80	0.8252348987176372	8346	94626	54116	506332	2020-11-08	1.3193693141675968	23332	1.2977545478188377	7506	0.6306426002254797	0.8076914723307654	0.7530640511529897	0.8914322817482542	0.7362564744411244	0.8708984857947086
18-24	80+	0.5318058952986456	1264	94626	12718	506332	2020-11-08	1.3193693141675968	23332	6.529982820633471	2086	0.13550313100130107	0.5205003899319022	0.410778602925763	0.6097215197080772	0.4023999792076376	0.5970035827107492
25-64	0-4	0.971902569454772	1227	303384	2107	506332	2020-11-08	1.0217204551339962	185730	3.19348121805206	28	0.4611416699880745	0.951241178123726	0.9126422805869098	1.0208309169527774	0.8954139041817166	0.999602243820044
25-64	12-17	0.9920272160686988	16673	303384	28050	506332	2020-11-08	1.0217204551339962	185730	1.3578509486179822	2110	0.8337864663397151	0.9709380007847612	0.9771815188542176	1.0062340267223226	0.9522449345447281	0.987241417343212
25-64	18-24	0.9602101481586048	54442	303384	94626	506332	2020-11-08	1.0217204551339962	185730	1.3193693141675968	23332	0.8203104047949943	0.939797322578489	0.9417034556754589	0.9762589966251628	0.9188957556197898	0.958184814513263
25-64	25-64	1.0217204551339962	185730	303384	303384	506332	2020-11-08	1.0217204551339962	185730	1.0217204551339962	185730	1	1	1.0167971181665212	1.0276780698505565	1	1
25-64	5-11	0.9915590217829018	6732	303384	11331	506332	2020-11-08	1.0217204551339962	185730	1.6799969664672898	426	0.734021266513663	0.9704797597038038	0.965675125513237	1.0160921018024036	0.9453327149760377	0.9946674817196304
25-64	65-80	0.985374841268404	31951	303384	54116	506332	2020-11-08	1.0217204551339962	185730	1.2977545478188377	7506	0.8496533396686419	0.9644270468669186	0.9681350020505427	1.0045007014421203	0.9450333074314639	0.9849529041946776
25-64	80+	0.8699051480243255	6629	303384	12718	506332	2020-11-08	1.0217204551339962	185730	6.529982820633471	2086	0.23038647474821988	0.8514120899245767	0.8159796734859623	0.9153461785583887	0.8010505030446703	0.8972838946616438
5-11	0-4	1.8663164424077872	88	11331	2107	506332	2020-11-08	1.6799969664672898	426	3.19348121805206	28	0.7659073752853391	1.8266409691905643	1.322836199111116	3.0551213087766325	1.290585514803737	2.988688415000113
5-11	12-17	1.2282553076750151	771	11331	28050	506332	2020-11-08	1.6799969664672898	426	1.3578509486179822	2110	0.8086351535741961	1.202144188758492	1.091223513835798	1.4008259413021587	1.070922521721259	1.3754584163608443
5-11	18-24	0.8887431642573759	1882	11331	94626	506332	2020-11-08	1.6799969664672898	426	1.3193693141675968	23332	0.5926206278942713	0.8698496343021921	0.7713297535512318	0.9874103719495821	0.7542105306821627	0.9702793311510216
